category,text,link
"""Знакомство интегратора БО""","""При добавлении новой логики перезвона (либо если сотрудник откладывает связь с клиентом на определенную дату/время), нужно менять очередь таска с помощью колла UPDATE_PAYLOAD_FIELDS:
TASK_ID: TASK_ID_BO
FORCE_CHANGE_QUEUE: true
REQUEST: {
""NUMBER_OF_INCOMING_COMMUNICATIONS"": 1 
}

При добавлении новой логики откладывания (если она равна НДЗ), нужно менять очередь таска с помощью колла UPDATE_PAYLOAD_FIELDS:
TASK_ID: TASK_ID_BO
FORCE_CHANGE_QUEUE: true
REQUEST: {
""NUMBER_OF_INCOMING_COMMUNICATIONS"": 2 
}""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Проверка дублей""","""SME. Бухгалтерское обслуживание. Проверка дублей""",http://www.example.com
"""Проблемы в работе Бухгалтерского обслуживания""","""Общая процедура по проблемам в работе с бухгалтерским обслуживанием""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Стоп факторы для Знакомства. Онбординг""","""хочу подключить бухгалтерское обслуживание""",http://www.example.com
"""SME. Онлайн-Бухгалтерия. 1% свыше 300 тысяч""","""как оплатить взносы сверх дохода в 300 000 рублей, как оплатить 1% свыше 300 тысяч рублей""",http://www.example.com
"""Онлайн-Бухгалтерия. Общая процедура""","""Описание процедуры""",http://www.example.com
"""Бухгалтерия декларация  Android""","""как подать декларацию в мобильном приложении на Android""",http://www.example.com
"""Налоговая копилка Бухгалтерия""","""как работает налоговая копилка (налоговый счет, такс счет, копилка)""",http://www.example.com
"""Авторасчет""","""как работает расчет налогов на упрощенной системе налогообложения (УСН, упрощенка)""",http://www.example.com
"""Бухгалтерия операции IOS""","""как выглядит лента операций (операции) в бухгалтерии на IOS""",http://www.example.com
"""Оплатить авансовый платеж""","""как оплатить авансовый платеж (авансы) по упрощенной системе налогообложения""",http://www.example.com
"""Проверка на бухгалтерию""","""Проверка на бухгалтерию""",http://www.example.com
"""Перезаписываем СНО""","""Перезаписываем СНО""",http://www.example.com
"""Знакомство бухгалтера""","""В процедуре обрабатываем таск на знакомство. ПБ впервые знакомится с новым клиентом в своем портфеле и узнает все особенности.""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Знакомство в чате""","""SME. Бухгалтерское обслуживание. Знакомство в чате""",http://www.example.com
"""Поиск карточки клиента в JIRA2 для фронта""","""Поиск карточки клиента в JIRA2 для фронта""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация торгового сбора""","""как выяснить, что у клиента торговый сбор""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Создание таска SME_ACCOUNTING_CHANGE_TAXATION_SYSTEM""","""Создаем таск для задачников по смене системы налогообложения""",http://www.example.com
"""Проверяем возможность подключения бух.обслуживания""","""Проверяем возможность подключения бух.обслуживания""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка обращения""","""SME. Бухгалтерское обслуживание. Обработка обращения""",http://www.example.com
"""Бухгалтерия декларация IOS""","""как подать декларацию в мобильном приложении на IOS""",http://www.example.com
"""История изменений таска для РГ бухгалтерии SME""","""История изменений таска для РГ бухгалтерии SME""",http://www.example.com
"""Бухгалтерия меню Android""","""мобильное приложение на Android""",http://www.example.com
"""Отображаем связанные задачи и подзадачи""","""Процедура необходима для отображение существующих задач и подзадач на карте клиента в Jira2. По умолчанию открываются все открытые задачи.""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка обращения Изменения системы налогообложения клиента""","""SME. Бухгалтерское обслуживание. Обработка обращения Изменения системы налогообложения клиента""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация НПД""","""SME. Бухгалтерское обслуживание. Актуализация НПД""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Изменяем реквизиты ИФНС по патенту в ЛК""","""SME. Бухгалтерское обслуживание. Изменяем реквизиты ИФНС по патенту в ЛК""",http://www.example.com
"""Бухгалтерия авансы android""","""как заплатить авансовые платежи на Android""",http://www.example.com
"""Проверка на статус счета клиента для подключения БО""","""Проверка на статус счета клиента для подключения БО""",http://www.example.com
"""Обработка задания по вопросу клиента БО""","""Обработка задания по вопросу клиента БО""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Заполнение опросника по патентам""","""Процедура для заполнения опросника при работе с обработчиком по патентам Бухгалтерии SME""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Запоминаем РОССТАТ и ФИАС""","""SME. Бухгалтерское обслуживание. Запоминаем РОССТАТ и ФИАС""",http://www.example.com
"""Проверка на ЕИО и подписанта для подключения Бухгалтерского обслуживания""","""Проверка на ЕИО и подписанта для подключения Бухгалтерского обслуживания""",http://www.example.com
"""Версия приложения Бухгалтерия""","""как узнать какая версия приложения у клиента""",http://www.example.com
"""SME. Бухгалтерское обслуживание.  Отправка письма для смены подписки""","""SME. Бухгалтерское обслуживание.  Отправка письма для смены подписки""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка таска Работа с патентами""","""Процедура для обработки заданий Бухгалтерии SME по оформлению/продлению/внесению изменений или отказу от патента.""",http://www.example.com
"""Бухгалтерия авансы ios""","""как заплатить авансовые платежи на ios""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Достаем данные из    подэкстейшена Оформление патента""","""Подпроцедура по вытягиванию информации из экстеншена ""SME-ACCOUNTING-NEW-PATENT"" и сбору в общий список.""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Проверка наличия тасок в работе у сотрудника""","""SME. Бухгалтерское обслуживание. Проверка наличия тасок в работе у сотрудника""",http://www.example.com
"""Работа бухгалтерии с задачей в jira 2""","""Работа бухгалтерии с задачей в jira 2""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация налоговой ставки""","""SME. Бухгалтерское обслуживание. Актуализация налоговой ставки""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Создание заявления на ОКВЭД""","""Если клиенту требуется создать заявление на изменение ОКВЭДа в налоговой, то ПБ может это сделать без передачи обращения на вторую линию""",http://www.example.com
"""БО. Работа с заданием""","""БО. Работа с заданием""",http://www.example.com
"""Вкладка «Главная» в Бухгалтерии""","""описание веб версии раздела Бухгалтерии (что есть в бухгалтерии, мастер, событие, авторасчет)""",http://www.example.com
"""Обработка задания по знакомству БО""","""Обработка задания по знакомству БО""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Проверка наличия связей""","""SME. Бухгалтерское обслуживание. Проверка наличия связей""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Просмотр других заданий на клиенте""","""SME. Бухгалтерское обслуживание. Просмотр других заданий на клиенте""",http://www.example.com
"""SME. Онлайн-Бухгалтерия. Бухгалтерия+""","""что такое платная онлайн бухгалтерия (бухгалтерия+)""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Звонок интегратора""","""SME. Бухгалтерское обслуживание. Звонок интегратора""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация реквизитов по патенту в ЛК""","""SME. Бухгалтерское обслуживание. Актуализация реквизитов по патенту в ЛК""",http://www.example.com
"""Бухгалтерия операции Android""","""лента операций бухгалтерии на Android""",http://www.example.com
"""Бухгалтерское обслуживание. Общая процедура менеджера""","""Бухгалтерское обслуживание. Общая процедура менеджера""",http://www.example.com
"""FAQ знакомство с бухгалтером""","""FAQ знакомство с бухгалтером""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Выбор тематики задания для создания""","""Процедура по созданию тасков Бухгалтерии""",http://www.example.com
"""БО. Фильтр для отложенного таска""","""БО. Фильтр для отложенного таска""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Обработка таска ""Ликвидация ИП""""","""SME. Бухгалтерское обслуживание. Обработка таска ""Ликвидация ИП""""",http://www.example.com
"""Процедура регистрации таска на линию помощи для бухгалтера""","""Процедура регистрации таска на линию помощи для бухгалтера""",http://www.example.com
"""Коммуникация бухгалтера""","""позовите бухгалтера""",http://www.example.com
"""Вкладка «Операции» в Бухгалтерии""","""как выглядит лента операций (операции) в бухгалтерии, НБ, налоговая база""",http://www.example.com
"""БО. Добавление заметки на таск""","""Проставляет заметку и нз на таск по БО""",http://www.example.com
"""Обращение к архивному бухгалтеру""","""При наличие у клиента ранее подключенного БО пытаемся найти бухгалтера, который с ним работал. 
Если нашли, передаем ему таск CLIENT_QUESTIONS_ON_ACCOUNTING, если не нашли, создаём таск, но закидываем в другую очередь - 621""",http://www.example.com
"""Поиск информации для Знакомство бухгалтера""","""Поиск информации для Знакомство бухгалтера""",http://www.example.com
"""Предрасчет стоимости подписки на бухгалтерское обслуживание""","""сколько стоит бухгалтерское обслуживание (бухгалтерия)""",http://www.example.com
"""Обработка задания по кэп БО""","""Обработка задания по кэп БО""",http://www.example.com
"""Налог на профессиональный доход""","""налог на профессиональный доход, НПД""",http://www.example.com
"""Изменение подписки на новом биллинге""","""#PERIOD - в формате текста год-месяц (прим. 2023-12)
#OPTIONS - массив с опциями за #PERIOD """,http://www.example.com
"""SME. Бухгалтерское обслуживание. Актуализация СНО. Знакомство бухгалтера""","""Подпроцедура для актуализации СНО в рамках работы ПБ при знакомстве - основной процесс Знакомство бухгалтера""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Создание таска SME_ACCOUNTING_DATA_UPDATE""","""Создаем таск для задачников по актуализации бухгалтерских данных""",http://www.example.com
"""Общая информация по системам налогообложения и сборам""","""патент, фиксы, усн, ПСН, упрощенка, взносы, 1%""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Знакомство онбордера. Завершение знакомства""","""SME. Бухгалтерское обслуживание. Знакомство онбордера. Завершение знакомства""",http://www.example.com
"""Создать задачу по клиенту""","""Создание задачи в Jira 2 по клиенту Бух""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Изменяем налоговую ставку в системах""","""SME. Бухгалтерское обслуживание. Изменяем налоговую ставку в системах""",http://www.example.com
"""SME. Бухгалтерия. Изменить код ОКТМО и код корректировки""","""При наличии компании можем перевыгрузить декларацию на подпись клиенту. """,http://www.example.com
"""SME. Бухгалтерское обслуживание. Навешивание метки ТС""","""SME. Бухгалтерское обслуживание. Навешивание метки ТС""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Достаем данные из подэкстеншена Утрата права на патент""","""SME. Бухгалтерское обслуживание. Достаем данные из подэкстеншена Утрата права на патент""",http://www.example.com
"""Подключить бухгалтерское обслуживание новый метод""","""подключить бухгалтера, бухгалтерское обслуживание""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Запоминаем ИНФС""","""Подпроцедура для получения массивов данных из ИФНС""",http://www.example.com
"""SME. Бухгалтерское обслуживание. История подписки""","""SME. Бухгалтерское обслуживание. История подписки""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Работа с картой жира""","""SME. Бухгалтерское обслуживание. Работа с картой жира""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Проверка отменённых""","""SME. Бухгалтерское обслуживание. Проверка отменённых""",http://www.example.com
"""Актуализация СНО клиента""","""Как поменять сно клиента""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Расчет стоимости патента""","""Обращаемся на сайт налоговой за получением стоимости патента""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Создание заявлений в ЛК""","""Процедура для создания заявления на патент""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Проверка статуса НПД в налоговой""","""Процедура для проверки статуса НПД:
- автоматически проверяет на дату регистрации, начало года (если дата регистрации раньше начала года) и текущую дату,
- есть возможность проверить на свою дату или диапазон дат (макс. месяц за раз)""",http://www.example.com
"""SME. Бухгалтерское обслуживание. Заполнение опросника по компании. Кол-во сотрудников""","""SME. Бухгалтерское обслуживание. Заполнение опросника по компании. Кол-во сотрудников""",http://www.example.com
